[2025-02-22 23:31:24,284] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,284] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,284] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,284] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,298] INFO: Distributed process group initialized
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,299] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,301] INFO: Starting test_min_gradient_with_none
[2025-02-22 23:31:24,301] INFO: Starting test_min_gradient_with_none
[2025-02-22 23:31:24,301] INFO: Starting test_min_gradient_with_none
